Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
93000000,3,1.0,80.0,120.0,1.0,-33.6167,-70.5667
134886100,3,2.0,68.0,100.0,1.0,-33.5719,-70.8068
62000000,4,1.0,90.0,110.0,0.0,-33.1829,-70.6747
135242000,1,2.0,70.0,70.0,1.0,-33.4037,-70.64
80433400,1,1.0,35.0,42.0,0.0,-33.4037,-70.64
137990000,3,2.0,111.0,136.0,1.0,-33.6167,-70.5667
160155000,3,3.0,94.0,120.0,3.0,-33.5985,-70.8734
160155000,3,3.0,94.0,140.0,3.0,-33.5985,-70.8734
75000000,4,3.0,97.0,144.0,0.0,-33.5167,-70.6389
135000000,4,3.0,72.0,138.0,1.0,-33.6167,-70.5667
84000000,3,1.0,61.0,81.0,1.0,-33.6167,-70.5667
231335000,7,3.0,148.0,140.0,0.0,-33.45,-70.7
